行号,标签,预测,判定
1,"图中展示的物品是纽扣电池,根据垃圾分类的标准，应该属于有害垃圾",图中展示的物品是电池，根据垃圾分类的标准，应该属于可回收物。,0
2,"图中展示的物品是指甲油,根据垃圾分类的标准，应该属于有害垃圾","图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。",1
3,"图中展示的物品是薯条,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是薯条，根据垃圾分类的标准，应该属于可回收物,0
4,"图中展示的物品是剃须刀片,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是{sharpener}，根据垃圾分类的标准，应该属于{recycling},1
5,"图中展示的物品是键盘,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是键盘，根据垃圾分类的标准，应该属于电子废弃物,0
6,"图中展示的物品是蛋糕盒,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是{cardboard_box}，根据垃圾分类的标准，应该属于{cardboard},0
7,"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是蔬菜，根据垃圾分类的标准，应该属于厨余垃圾。,1
8,"图中展示的物品是普通面包,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是{garbage_object}，根据垃圾分类的标准，应该属于{garbage_type}厨余垃圾。,1
9,"图中展示的物品是验孕棒,根据垃圾分类的标准，应该属于其他垃圾",图中展示的物品是纸巾盒，根据垃圾分类的标准，应该属于纸类垃圾。,0
10,"图中展示的物品是盘子,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是盘子,根据垃圾分类的标准，应该属于可回收垃圾",1
11,"图中展示的物品是保鲜盒,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是碗,0
12,"图中展示的物品是空调遥控器,根据垃圾分类的标准，应该属于可回收物",图中展示的物品是遥控器，根据垃圾分类的标准，应该属于电子废弃物。,0
13,"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾",图中展示的物品是蔬菜，根据垃圾分类的标准，应该属于其他垃圾,0
14,"图中展示的物品是耳钉耳环,根据垃圾分类的标准，应该属于可回收物","图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]",0
